              infini	              infini	               5fini	       ADJ	                    	         m	         s	         3	                    lyrique;science	                 interminable;illimité;perpétuel	              incalculable;inimaginable;fin;début	                         art;science;folklore
              infini	              infini	               5fini	       NOM	                    	         m	         s	         3	                    science;lyrique	                                 immensité;absolu	                concept;continu;suite;idée;raison	                    science;religion;aventure
                bleu	                bleu	                 bl2	       ADJ	                    	         m 	          	         1	                   lyrique;mélancolique	                                              azur	yeux;mer;âme;couleur;noir;fragile;précieux;langueur	                      science;psychologie;art
                bleu	                bleu	                 bl2	       NOM	                    	         m	         s	         1	                            science	                            meurtrissure;contusion	                             coup;douleur;choc;mal	                         science;folie;guerre
             horizon	             horizon	              oRiz§	       NOM	                    	         m	         s	         3	                   lyrique;mélancolique	                                          étendue	                 perspective;avenir;espace;paysage	       navigation;aventure;psychologie;géographie
                 sel	                 sel	                 sEl	       NOM	                    	         m	         s	         1	                            science	                            cristal;finesse;esprit	           goût;matière;structure;cuisine;épice	                  cuisine;science;psychologie
          immensité	          immensité	             im@site	       NOM	                    	         f	         s	         4	lyrique;épique;mélancolique;dramatique	                                        éternité	          étendue;espace;horizontal;sens;solitude	                   psychologie;navigation;aventure
          enchantée	           enchanté	               @S@te	       ADJ	                    	         f	         s	         3	                                 lyrique	                                envoûtée;magique	               éternité;magie;rêve;malédiction	                                       folklore
              abîme	              abîme	                abim	       NOM	                    	         m	         s	         2	                   mélancolique;lyrique	                                gouffre;précipice	                    chute;désespoir;mort;naufrage	          navigation;science;aventure;épique
            étendue	            étendue	               et@dy	       NOM	                    	         f	         s	         3	                                  neutre	                                    surface;espace	    déployer;dimension;distance;territoire;terres	                              géographie;aventure
                 air	                 air	                  ER	       NOM	                    	         m	         s	         1	                    lyrique;science	                                     vent;mélodie	        atmosphère;élément;souffle;feu;eau;ciel	                   science;navigation;poésie
            cantique	            cantique	               k@tik	       NOM	                    	         m	         s	         2	                                 lyrique	                                            psaume	       religion;moine;bougie;culte;choeur;harmonie	                          art;folklore;religion
             chanson	             chanson	               S@s§	       NOM	                    	         f	         s	         2	                 épique;comique;lyrique	                            musique;air;complainte	             jouer;danser;écouter;instrument;voix	                                       art;poésie
             litanie	             litanie	              litani	       NOM	                    	         f	         s	         3	                                 lyrique	                                   plainte;prière	                               reproche;invocation	                              religion;psychologie
           mélopée	           mélopée	              melope	       NOM	                    	         f	         s	         3	        mélancolique;dramatique;lyrique	                                  mélodie;romance	flûte;enchanteresse;envoûtante;mystérieuse;paroles	                              poésie;art;folklore
             musique	             musique	               myzik	       NOM	                    	         f	         s	         2	                   lyrique;mélancolique	                                               art	festival;orchestre;partition;partage;émotion;beauté;belle	                           art;poésie;folklore
                voix	                voix	                 vwa	       NOM	                    	         f	          	         1	                      lyrique;dramatique	                                        parole;ton	             cri;bruit;hurlement;belle;douce;chant	                           art;psychologie;poésie
               force	               force	                fORs	       NOM	                    	         f	         s	         1	                    science;épique	                                 vigueur;dynamisme	contrainte;élan;emportement;endurance;vitalité;vive;vif	                      art;science;folklore
           puissance	           puissance	              p8is@s	       NOM	                    	         f	         s	         2	                      épique;dramatique	                               intensité;énergie	         fort;forte;domination;catastrophe;pouvoir	                  science;psychologie;épique
              taille	              taille	                 taj	       NOM	                    	         f	         s	         1	                                  neutre	                                envergure;grandeur	haute;haut;ampleur;dimension;imposant;petite;petit	                                                  
            champion	            champion	              S@pj§	       NOM	                    	         m	         s	         2	           épique;lyrique;mélancolique	                           héros;guerrier;maître	armure;honneur;courage;combat;duel;brave;courageux	                       folklore;folklore;guerre
              vagues	               vague	                 vag	       NOM	                    	         f 	         p	         1	                   lyrique;mélancolique	                                 lames;ondes;flots	houle;agitation;rythme;puissantes;régulières;fortes	                    navigation;épique;folklore
               titan	               titan	                tit@	       NOM	                    	         m	         s	         2	                                 épique	                                       destructeur	catastrophe;monde;profondeur;mythe;création;dieux	                           folklore;folklore
           descendre	           descendre	              des@dR	       VER	                inf;	          	          	         2	                                  neutre	                               dégringoler;tomber	                   bas;marches;aller;explorer;cave	                                          aventure
           oubliées	             oublié	              ublije	       ADJ	                    	         f	         p	         3	                   mélancolique;lyrique	                       perdues;anciennes;disparues	mémoire;légendes;histoires;sagesse;écrits;pensées	                           folklore;folklore
          défendues	           défendre	              def@dy	       ADJ	             	         f	         p	         3	                   lyrique;mélancolique	                               interdites;gardées	       danger;mort;terres;idées;pensées;gardées	                        morale;poésie;folklore
            lointain	            lointain	               lw5t5	       ADJ	                    	         m	         s	         2	                                  neutre	                                     distant;perdu	                       passé;ailleurs;vue;pensée	                            psychologie;navigation
            lointain	            lointain	               lw5t5	       NOM	                    	         m	         s	         2	                   mélancolique;épique	                                  étendue;horizon	                 passé;oubli;incertitude;oubliée	                               poésie;folklore
           effrayant	           effrayant	              efREj@	       ADJ	                    	         m	         s	         3	                      dramatique;épique	        horrible;épouvantable;terrifiant;affolant	terreur;horreur;atrocité;cauchemar;angoisse;peur;maladie	                               psychologie;épique
           carnivore	           carnivore	            kaRnivOR	       ADJ	                    	          	         s	         3	                            science	                                            vorace	                          viande;dents;faim;chasse	                               animal;science
           carnivore	           carnivore	            kaRnivOR	       NOM	                    	         m	         s	         3	                                  neutre	                         prédateur;chasseur;tueur	      chasse;mort;nourrir;crocs;agressif;agressive	                               animal;science
         marécageux	         marécageux	            maRekaZ2	       ADJ	                    	         m	          	         4	      science;lyrique;mélancolique	                                     vaseux;boueux	stagnante;plantes;humidité;humide;croupie;hostile	            géographie;science;psychologie
               divin	               divin	                div5	       ADJ	                    	         m	         s	         2	                 lyrique;épique;comique	                                 suprême;céleste	                dieu;déesse;ciel;miracle;mystique	                  religion;philosophie;folklore
          invincible	          invincible	             5v5sibl	       ADJ	                    	          	         s	         3	                                 épique	        indestructible;inébranlable;invulnérable	                 guerrier;équilibre;volonté;fort	                         folklore;psychologie
           politique	           politique	             politik	       ADJ	                    	          f	         s	         3	                    science;lyrique	                                                  	lutte;doctrine;engagement;volonté;combat;droits;travail;santé	                           politique;philosophie
            marxisme	            marxisme	            maRksizm	       NOM	                    	         m	         s	         2	                            science	                        socialisme;anticapitalisme	politique;lutte;sociale;critique;ouvrière;capital;bourgeoisie;production;révolution	                             philosophie;politique
           dérobée	            dérobé	              deRobe	       ADJ	                    	         f	         s	         3	                                  neutre	                                invisible;secrète	           entrée;porte;secret;arcanes;dissimuler	                              religion;folklore
            grandeur	            grandeur	              gR@d9R	       NOM	                    	         f	         s	         2	                                  neutre	                                    taille;hauteur	                   dignité;humilité;respect;âme	                                            morale
             colosse	             colosse	               kolOs	       NOM	                    	         m	         s	         2	                                 épique	                                      géant;titan	    force;puissance;destruction;opression;dominée	                           folklore;folklore
            distance	            distance	              dist@s	       NOM	                    	         f	         s	         2	                                  neutre	                                           portée	                        tir;position;grande;faible	                                géographie;guerre
              chorale	              chorale	               koRal	       NOM	                    	         f	         s	         2	                                 lyrique	                                            choeur	                        chant;groupe;harmonie;voix	                                       poésie;art
             couplet	             couplet	               kuplE	       NOM	                    	         m	         s	         2	                                 lyrique	                                           strophe	            musique;chanson;passage;mots;émouvant	                                       poésie;art
              poème	              poème	                poEm	       NOM	                    	         m	         s	         2	                   lyrique;mélancolique	                               poésie;ballade;ode	écriture;nuit;lecture;vers;inspiration;tristesse;émotion	                                       art;poésie
          éternité	          éternité	            etERnite	       NOM	                    	         f	         s	         4	                      lyrique;dramatique	                          longévité;immortalité	divin;magique;intemporel;toujours;vie;intemporelle	                              religion;philosophie
        inaccessible	        inaccessible	          inaksesibl	       ADJ	                    	          	         s	         4	                                  neutre	                 mystérieux;obscur;impénétrable	    secret;interdit;savoir;cachée;caché;vérité	                  philosophie;morale;psychologie
         précipiter	         précipiter	           pResipite	       VER	               inf;;	          	          	         4	                              dramatique	                                     chuter;tomber	                     trou;abîme;abattre;renverser	                                                  
             silence	             silence	               sil@s	       NOM	                    	         m	         s	         2	        lyrique;mélancolique;dramatique	                                              paix	              opressant;calme;absence;tranquilité	                                                  
                nage	                nage	                 naZ	       NOM	                    	         f	         s	         1	                                  neutre	                                            brasse	          mer;rivière;lac;effort;sauver;nauffrage	                                                  
            imposant	            imposant	               5poz@	       ADJ	                    	         m	         s	         3	                                  neutre	                           grandiose;impressionant	monumental;magistral;intimidant;opressant;symbolique	   psychologie;politique;philosophie;folklore
                peur	                peur	                 p2R	       NOM	                    	         f	         s	         1	dramatique;lyrique;épique;mélancolique	                                    effroi;frayeur	noir;nuit;émotion;frisson;épouvante;angoisse;ombre;dépression	                            psychologie;aventure;folie
                 eau	                 eau	                   o	       NOM	                    	         f	         s	         1	                                  neutre	                                                  	                        pluie;liquide;océan;larme	                     science;aventure;poésie
             poisson	             poisson	              pwas§	       NOM	                    	         m	         s	         2	                                  neutre	                                                  	                  marée;pêche;cuisine;mer;manger	       animal;chasse;commerce;science;cuisine
             pouvoir	             pouvoir	              puvwaR	       NOM	                    	         m	         s	         2	                      épique;dramatique	   autorité;gouvernement;domination;état;régime	      politique;suprématie;violence;force;dominé	                      politique;philosophie;morale
